ОРИГИНАЛ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,ПОСТАВЩИК,Unnamed: 13,Unnamed: 14,ПОСТАВЩИК.1,Unnamed: 16,Unnamed: 17,ПОСТАВЩИК.2,Unnamed: 19,Unnamed: 20,ПОСТАВЩИК.3,Unnamed: 22,Unnamed: 23,ПОСТАВЩИК.4,Unnamed: 25,Unnamed: 26,ПОСТАВЩИК.5,Unnamed: 28,Unnamed: 29,ПОСТАВЩИК.6,Unnamed: 31,Unnamed: 32,ПОСТАВЩИК.7,Unnamed: 34,Unnamed: 35,ПОСТАВЩИК.8,Unnamed: 37,Unnamed: 38,ПОСТАВЩИК.9,Unnamed: 40,Unnamed: 41,ПОСТАВЩИК.10,Unnamed: 43,Unnamed: 44,ПОСТАВЩИК.11,Unnamed: 46,Unnamed: 47,ПОСТАВЩИК.12,Unnamed: 49,Unnamed: 50,ПОСТАВЩИК.13,Unnamed: 52,Unnamed: 53,ПОСТАВЩИК.14,Unnamed: 55,Unnamed: 56,ПОСТАВЩИК.15,Unnamed: 58,Unnamed: 59,ПОСТАВЩИК.16,Unnamed: 61,Unnamed: 62,ПОСТАВЩИК.17,Unnamed: 64,Unnamed: 65,ПОСТАВЩИК.18,Unnamed: 67,Unnamed: 68,ПОСТАВЩИК.19,Unnamed: 70,Unnamed: 71,ПОСТАВЩИК.20,Unnamed: 73,Unnamed: 74
1,2,3,4,5,6,7,8,9,10,11,12,Jiangsu,,,Rain,,,Dalian Hongya ,,,"Dalian Hongya Pump Industry Co.,Ltd",,,Dalian Dehong ,,,"Dalian Htech Pumps Co., Ltd",,,Dalian,,,VINSOME,,,Oriental,,,Keepwin,,,BORG,,,XRTech,,,FOSHAN,,,Monton,,,Qingdao,,,ZheJiang BHS,,,Jiangsu Tongyi ,,,ForceField,,,Minnie,,,KJ Pumps,,,Смарт-Механика,,
№,НАПРАВЛЕНИЕ,ПРОИЗВОДИТЕЛЬ,АРТИКУЛ,НАИМЕНОВАНИЕ,ИЗДЕЛИЕ,НОМЕР ИЗДЕЛИЯ,МЕТЕРИАЛ,РАЗМЕР,ЧЕРТЕЖ,ПОЗИЦИЯ,КОМПЛЕКТАЦИЯ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ,ПОСТАВЩИК,ЦЕНА,СРОКИ
,,Ariel,A-20611,OIL FILTER / МАСЛЯНЫЙ ФИЛЬТР,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForceField,30.6,,,,,,,,,,
,,Ariel,A-4733,CARRIER PISTON RING (WEAR BAND) / НЕСУЩЕЕ ПОРШНЕВОЕ КОЛЬЦО (ИЗНОСНОЕ КОЛЬЦО),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForceField,206.1,,,,,,,,,,
,,Ariel,B-5360-EE,DISCHARGE VALVE ASSEMBLY / ВЫПУСКНОЙ КЛАПАН В СБОРЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForceField,558,,,,,,,,,,
,,Ariel,B-6408,ROD GLAND ASSEMBLY / УЗЕЛ САЛЬНИКА ШТОКА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForceField,1874,,,,,,,,,,
,,Ariel,,Shipping & packing / Отгрузка и упкаковка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ForceField,1050,,,,,,,,,,
,,Ariel,,Casing / Корпус,,,65-45-15 ASTM A 395,,224801.000.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangsu Tongyi ,170571.2,,,,,,,,,,,,,
,,Borsig,,Babbitt bearing assembly / Подшипник с покрытием баббитом в сборе,,,"1. 42CrMo
2. 42CrMo
3. Bronze CW 116C EN 12163
4. White metal WM-80 DIN 1703",,224802.31.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZheJiang BHS,25000,,,,,,,,,,,,,,,,
,,Burckhardt,,Casing / Корпус,,,1.0443 DIN 1681,,224802.40.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qingdao,268000,,,,,,,,,,,,,,,,,,,
